,link,name,ovr,pos,program
0,https://www.muthead.com/19/players/65960-odell-beckham-jr,Odell Beckham Jr,99,WR,Movers
1,https://www.muthead.com/19/players/66138-chuck-bednarik,Chuck Bednarik,99,LOLB,NFL Draft
2,https://www.muthead.com/19/players/66139-tom-brady,Tom Brady,99,QB,NFL Draft
3,https://www.muthead.com/19/players/65961-antonio-brown,Antonio Brown,99,WR,Movers
4,https://www.muthead.com/19/players/66155-stefon-diggs,Stefon Diggs,99,WR,NFL Draft
5,https://www.muthead.com/19/players/62280-julian-edelman,Julian Edelman,99,WR,Super Bowl Present
6,https://www.muthead.com/19/players/66157-myles-garrett,Myles Garrett,99,RE,NFL Draft
7,https://www.muthead.com/19/players/66720-melvin-gordon,Melvin Gordon,99,HB,Color Smash
8,https://www.muthead.com/19/players/66520-melvin-gordon,Melvin Gordon,99,HB,Color Smash
9,https://www.muthead.com/19/players/64-rob-gronkowski,Rob Gronkowski,99,TE,House Rules
10,https://www.muthead.com/19/players/63-rob-gronkowski,Rob Gronkowski,99,TE,Limited Edition
11,https://www.muthead.com/19/players/66151-chris-harris-jr,Chris Harris Jr,99,CB,NFL Draft
12,https://www.muthead.com/19/players/65601-chris-johnson,Chris Johnson,99,HB,NFL Combine
13,https://www.muthead.com/19/players/66113-keyshawn-johnson,Keyshawn Johnson,99,WR,NFL Draft
14,https://www.muthead.com/19/players/66156-marshawn-lynch,Marshawn Lynch,99,HB,NFL Draft
15,https://www.muthead.com/19/players/64190-dan-marino,Dan Marino,99,QB,Ultimate Legends
16,https://www.muthead.com/19/players/64177-randy-moss,Randy Moss,99,WR,Ultimate Legends
17,https://www.muthead.com/19/players/66801-kyler-murray,Kyler Murray,99,QB,NFL Draft
18,https://www.muthead.com/19/players/66125-cam-newton,Cam Newton,99,QB,NFL Draft
19,https://www.muthead.com/19/players/64203-terrell-owens,Terrell Owens,99,WR,Ultimate Legends
20,https://www.muthead.com/19/players/64183-ed-reed,Ed Reed,99,SS,Ultimate Legends
21,https://www.muthead.com/19/players/64215-jeremy-shockey,Jeremy Shockey,99,TE,Ultimate Legends
22,https://www.muthead.com/19/players/66101-bruce-smith,Bruce Smith,99,RE,NFL Draft
23,https://www.muthead.com/19/players/66126-telvin-smith,Telvin Smith,99,ROLB,NFL Draft
24,https://www.muthead.com/19/players/64196-brian-urlacher,Brian Urlacher,99,MLB,Ultimate Legends
25,https://www.muthead.com/19/players/64202-demarcus-ware,DeMarcus Ware,99,LOLB,Ultimate Legends
26,https://www.muthead.com/19/players/66701-j-j-watt,J.J. Watt,99,LE,Color Smash
27,https://www.muthead.com/19/players/66501-j-j-watt,J.J. Watt,99,LE,Color Smash
28,https://www.muthead.com/19/players/64209-rod-woodson,Rod Woodson,99,CB,Ultimate Legends
29,https://www.muthead.com/19/players/64189-steve-young,Steve Young,99,QB,Ultimate Legends
30,https://www.muthead.com/19/players/64125-larry-allen,Larry Allen,98,RG,Ultimate Legends
31,https://www.muthead.com/19/players/63503-saquon-barkley,Saquon Barkley,98,HB,NFL Honors
32,https://www.muthead.com/19/players/92-saquon-barkley,Saquon Barkley,98,HB,Rookie Premiere
33,https://www.muthead.com/19/players/65935-anthony-barr,Anthony Barr,98,ROLB,Free Agents
34,https://www.muthead.com/19/players/65902-leveon-bell,Le'Veon Bell,98,HB,Free Agents
35,https://www.muthead.com/19/players/64150-mel-blount,Mel Blount,98,CB,Ultimate Legends
36,https://www.muthead.com/19/players/66114-joey-bosa,Joey Bosa,98,LE,NFL Draft
37,https://www.muthead.com/19/players/66840-nick-bosa,Nick Bosa,98,LE,NFL Draft
38,https://www.muthead.com/19/players/64137-cris-carter,Cris Carter,98,WR,Ultimate Legends
39,https://www.muthead.com/19/players/65955-landon-collins,Landon Collins,98,SS,Free Agents
40,https://www.muthead.com/19/players/64176-brian-dawkins,Brian Dawkins,98,FS,Ultimate Legends
41,https://www.muthead.com/19/players/63502-aaron-donald,Aaron Donald,98,RE,NFL Honors
42,https://www.muthead.com/19/players/63251-julian-edelman,Julian Edelman,98,WR,Super Bowl Present
